id_transaccion,fecha,cliente_id,tipo_transaccion,monto,categoria,ciudad,canal,hora,estado,monto_absoluto,año,mes,dia_semana,trimestre,rango_monto,hora_num,sospechosa
TRX006577,2023-10-02,CLI3604,Transferencia,4631407.21,Transporte,Barranquilla,Sucursal,03:55,Exitosa,4631407.21,2023,10,0,Q4,Muy Grande,3,True
TRX000484,2024-11-14,CLI3059,Deposito,874804.73,Servicios,Cali,Web,06:31,Exitosa,874804.73,2024,11,3,Q4,Grande,6,False
TRX007605,2023-06-11,CLI4662,Retiro,-4544522.42,Salud,Medellín,App Móvil,13:11,Exitosa,4544522.42,2023,6,6,Q2,Muy Grande,13,True
TRX003937,2023-11-01,CLI4210,Retiro,-680616.41,Salud,Medellín,App Móvil,23:18,Pendiente,680616.41,2023,11,2,Q4,Grande,23,False
TRX007070,2023-07-25,CLI3319,Pago De Servicio,-1806393.11,Entretenimiento,Barranquilla,Web,00:12,Exitosa,1806393.11,2023,7,1,Q3,Grande,0,True
TRX002647,2023-03-11,CLI2733,Deposito,2915135.44,Transporte,Cartagena,App Móvil,23:38,Fallida,2915135.44,2023,3,5,Q1,Muy Grande,23,False
TRX003007,2024-09-13,CLI2985,Retiro,-2114839.31,Salud,Cali,App Móvil,12:09,Exitosa,2114839.31,2024,9,4,Q3,Muy Grande,12,False
TRX007508,2023-08-24,CLI4053,Deposito,2448711.52,Salud,Barranquilla,Cajero,01:23,Pendiente,2448711.52,2023,8,3,Q3,Muy Grande,1,True
TRX006225,2023-11-04,CLI2747,Transferencia,2877030.65,Otros,Cali,Sucursal,04:17,Fallida,2877030.65,2023,11,5,Q4,Muy Grande,4,True
TRX003625,2024-03-11,CLI4182,Pago De Servicio,-1673531.86,Transporte,Bogotá,App Móvil,03:36,Pendiente,1673531.86,2024,3,0,Q1,Grande,3,True
TRdX002516,2024-11-03,CLI4490,Compra,-1935299.19,Entretenimiento,Bogotá,Sucursal,11:35,Exitosa,1935299.19,2024,11,6,Q4,Grande,11,False
TRX002334,2024-05-20,CLI4067,Transferencia,1607107.73,Servicios,Bogotá,Sucursal,20:20,Fallida,1607107.73,2024,5,0,Q2,Grande,20,False
TRX000264,2023-10-31,CLI2870,Compra,-933911.94,Transporte,Medellín,App Móvil,11:51,Exitosa,933911.94,2023,10,1,Q4,Grande,11,False
TRX001085,2023-08-05,CLI1826,Transferencia,1695963.7,Salud,Cartagena,App Móvil,16:25,Pendiente,1695963.7,2023,8,5,Q3,Grande,16,False
TRX000240,2023-03-22,CLI2734,Retiro,-1049500.44,Salud,Bogotá,App Móvil,10:58,Exitosa,1049500.44,2023,3,2,Q1,Grande,10,False
TRX001594,2024-10-22,CLI1247,Transferencia,3346065.93,Salario,Barranquilla,Web,22:50,Exitosa,3346065.93,2024,10,1,Q4,Muy Grande,22,True
TRX007718,2024-04-11,CLI4043,Transferencia,1412836.63,Alimentacion,Bogotá,Cajero,23:29,Pendiente,1412836.63,2024,4,3,Q2,Grande,23,False
TRX005713,2024-02-24,CLI1256,Pago De Servicio,-4020773.5,Educacion,Bogotá,Cajero,16:22,Fallida,4020773.5,2024,2,5,Q1,Muy Grande,16,True
TRX004884,2024-03-11,CLI4103,Retiro,-1704071.03,Transporte,Medellín,App Móvil,01:51,Exitosa,1704071.03,2024,3,0,Q1,Grande,1,True
TRX007626,2024-08-14,CLI4015,Retiro,-1698749.92,Salud,Bogotá,Web,20:5,Exitosa,1698749.92,2024,8,2,Q3,Grande,20,False
TRX001560,2024-01-02,CLI2002,Retiro,-91066.64,Salud,Cali,App Móvil,01:07,Exitosa,91066.64,2024,1,1,Q1,Pequeño,1,False
TRX006929,2023-10-09,CLI4255,Pago De Servicio,-652616.38,Salud,Barranquilla,Cajero,15:10,Exitosa,652616.38,2023,10,0,Q4,Grande,15,False
TRX006804,2024-05-16,CLI1977,Compra,-1980546.57,Alimentacion,Barranquilla,Cajero,03:26,Exitosa,1980546.57,2024,5,3,Q2,Grande,3,True
TRX006444,2024-05-09,CLI4971,Pago De Servicio,-1474562.64,Entretenimiento,Barranquilla,Cajero,15:13,Fallida,1474562.64,2024,5,3,Q2,Grande,15,False
TRX007923,2023-09-01,CLI4565,Pago De Servicio,-4605935.78,Otros,Cartagena,Sucursal,06:11,Pendiente,4605935.78,2023,9,4,Q3,Muy Grande,6,True
TRX007460,2023-11-13,CLI1888,Pago De Servicio,-245379.0,Alimentación,Barranquilla,Sucursal,06:37,Exitosa,245379.0,2023,11,0,Q4,Mediano,6,False
TRX007273,2024-02-17,CLI1169,Depósito,113939.06,Sin Categoría,Barranquilla,Sucursal,02:23,Exitosa,113939.06,2024,2,5,Q1,Mediano,2,False
TRX000320,2023-10-22,CLI2016,Retiro,-803871.97,Salud,Medellín,Sucursal,15:20,Exitosa,803871.97,2023,10,6,Q4,Grande,15,False
TRX003479,2023-06-26,CLI1179,Transferencia,4727650.28,Alimentacion,Bogotá,App Móvil,05:09,Exitosa,4727650.28,2023,6,0,Q2,Muy Grande,5,True
TRX006571,2024-11-18,CLI2206,Pago De Servicio,-2884500.02,Salario,Cali,Web,15:38,Exitosa,2884500.02,2024,11,0,Q4,Muy Grande,15,False
TRX005077,2024-03-25,CLI2076,Compra,-784230.98,Salud,Barranquilla,Sucursal,07:10,Exitosa,784230.98,2024,3,0,Q1,Grande,7,False
TRX005664,2023-03-11,CLI1232,Deposito,1830551.14,Otros,Bogotá,Cajero,11:24,Exitosa,1830551.14,2023,3,5,Q1,Grande,11,False
TRX007762,2024-05-26,CLI4472,Pago De Servicio,-4367356.56,Transporte,Barranquilla,Cajero,06:44,Pendiente,4367356.56,2024,5,6,Q2,Muy Grande,6,True
TRX001966,2023-11-27,CLI4134,Pago De Servicio,-1124637.78,Alimentación,Cali,App Móvil,02:37,Fallida,1124637.78,2023,11,0,Q4,Grande,2,True
TRX001769,2024-12-30,CLI4550,Deposito,1250794.78,Alimentación,Cartagena,App Móvil,04:50,Exitosa,1250794.78,2024,12,0,Q4,Grande,4,True
TRX000519,2023-01-11,CLI3885,Deposito,2956681.52,Otros,Barranquilla,App Móvil,10:58,Exitosa,2956681.52,2023,1,2,Q1,Muy Grande,10,False
TRX004225,2023-02-01,CLI1409,Pago De Servicio,-3639611.64,Transporte,Bogotá,Cajero,14:51,Pendiente,3639611.64,2023,2,2,Q1,Muy Grande,14,True
TRX004122,2024-11-29,CLI4497,Pago De Servicio,-552693.57,Transporte,Medellín,Web,09:04,Exitosa,552693.57,2024,11,4,Q4,Grande,9,False
TRX006868,2023-08-10,CLI4756,Transferencia,4997124.4,Sin Categoría,Cali,Web,15:56,Exitosa,4997124.4,2023,8,3,Q3,Muy Grande,15,True
TRX001173,2024-01-21,CLI2412,Retiro,-388870.52,Salud,Cartagena,App Móvil,09:16,Exitosa,388870.52,2024,1,6,Q1,Mediano,9,False
TRX007891,2024-05-08,CLI2692,Retiro,-1640031.19,Transporte,Cartagena,Cajero,13:03,Exitosa,1640031.19,2024,5,2,Q2,Grande,13,False
TRX006013,2024-06-23,CLI2560,Retiro,-139935.5,Transporte,Cali,Web,07:41,Pendiente,139935.5,2024,6,6,Q2,Mediano,7,False
TRX001298,2024-07-20,CLI1431,Deposito,3421025.51,Salud,Barranquilla,Cajero,10:27,Pendiente,3421025.51,2024,7,5,Q3,Muy Grande,10,True
TRX006783,2023-08-14,CLI3154,Transferencia,2039621.04,Educacion,Barranquilla,Cajero,08:22,Pendiente,2039621.04,2023,8,0,Q3,Muy Grande,8,False
TRX004519,2024-04-18,CLI1642,Compra,-1774403.28,Entretenimiento,Cali,Cajero,00:48,Pendiente,1774403.28,2024,4,3,Q2,Grande,0,True
